feature_id,feature_value,Nz,Ez
secret_key,"A=0.22.18.3|t=0.0.28.28|e=1.0.1.1",268435456,6321984
secret_key,"A=1.17.20.7|t=0.0.28.1|e=0.28.0.28",268435456,7699968
secret_key,"A=1.25.25.4|t=1.0.1.28|e=1.28.1.28",268435456,24656384
secret_key,"A=1.8.1.5|t=28.0.28.1|e=28.0.0.0",268435456,6257152
secret_key,"A=10.12.26.12|t=0.1.0.0|e=0.0.0.0",268435456,0
secret_key,"A=12.9.24.0|t=28.1.1.28|e=1.0.28.1",268435456,25030784
secret_key,"A=14.14.28.9|t=0.28.0.0|e=0.0.0.0",268435456,0
secret_key,"A=15.6.24.18|t=28.0.1.28|e=0.1.0.0",268435456,9984704
secret_key,"A=19.11.3.17|t=0.1.1.0|e=0.1.0.28",268435456,8458752
secret_key,"A=20.26.6.28|t=28.1.0.28|e=0.1.1.0",268435456,4565504
secret_key,"A=7.12.15.27|t=1.0.1.0|e=1.1.1.0",268435456,7377856
secret_key,"A=9.5.1.19|t=0.1.1.0|e=0.1.1.0",268435456,3178496
