feature_id,feature_value,Nz,Ez
secret_key,"A=0.14.11.2|t=0.0.18.18|e=1.0.1.1",268435456,36052256
secret_key,"A=0.16.16.3|t=1.0.1.18|e=1.18.1.18",268435456,64551808
secret_key,"A=0.5.1.3|t=18.0.18.1|e=18.0.0.0",268435456,27393920
secret_key,"A=1.11.13.4|t=0.0.18.1|e=0.18.0.18",268435456,28495552
secret_key,"A=12.7.2.11|t=0.1.1.0|e=0.1.0.18",268435456,32434760
secret_key,"A=13.17.4.18|t=18.1.0.18|e=0.1.1.0",268435456,42758392
secret_key,"A=4.8.10.17|t=1.0.1.0|e=1.1.1.0",268435456,34267528
secret_key,"A=6.3.0.13|t=0.1.1.0|e=0.1.1.0",268435456,19747024
secret_key,"A=7.8.17.8|t=0.1.0.0|e=0.0.0.0",268435456,2760704
secret_key,"A=8.6.15.0|t=18.1.1.18|e=1.0.18.1",268435456,60877422
secret_key,"A=9.4.16.11|t=18.0.1.18|e=0.1.0.0",268435456,32342568
secret_key,"A=9.9.18.6|t=0.18.0.0|e=0.0.0.0",268435456,2064384
